customEvent:face_count | deviceCategory | eventCount
1332812 | desktop | 1
13329 | desktop | 1
1335 | desktop | 1
133515 | desktop | 1
13375 | desktop | 1
134 | desktop | 1
1343373 | desktop | 1
13446 | desktop | 1
13470 | desktop | 1
13473 | desktop | 1
134760 | desktop | 1
1353 | desktop | 1
135481 | desktop | 1
1356276 | desktop | 1
1356759 | desktop | 1
135922 | desktop | 1
1359768 | desktop | 1
136465 | desktop | 1
136731 | desktop | 1
13692 | desktop | 1
137304 | desktop | 1
1375234 | desktop | 1
1375319 | desktop | 1
1379876 | desktop | 1
1380241 | desktop | 1
138434 | desktop | 1
1388 | desktop | 1
138896 | desktop | 1
1389977 | desktop | 1
1390608 | desktop | 1
1392686 | desktop | 1
139490 | desktop | 1
139531 | desktop | 1
1396 | desktop | 1
1400578 | desktop | 1
1401984 | desktop | 1
1404 | desktop | 1
1404134 | desktop | 1
1404165 | desktop | 1
140423 | desktop | 1
1409684 | desktop | 1
141077 | desktop | 1
141516 | mobile | 1
1416781 | desktop | 1
14172 | desktop | 1
1417990 | desktop | 1
1419 | desktop | 1
1419091 | desktop | 1
14208 | desktop | 1
1420987 | desktop | 1
1420994 | desktop | 1
1422608 | desktop | 1
1429391 | desktop | 1
142945 | desktop | 1
1430 | desktop | 1
14300 | desktop | 1
1431266 | desktop | 1
1435404 | desktop | 1
1436424 | desktop | 1
1437317 | desktop | 1
1440661 | desktop | 1
1440664 | desktop | 1
1442 | desktop | 1
14420 | desktop | 1
1444704 | desktop | 1
1444934 | desktop | 1
1445346 | desktop | 1
144553 | desktop | 1
144567 | desktop | 1
144748 | desktop | 1
1447556 | desktop | 1
1448016 | desktop | 1
1448628 | desktop | 1
145074 | mobile | 1
1451336 | desktop | 1
145401 | desktop | 1
14567 | desktop | 1
1456892 | desktop | 1
1456990 | desktop | 1
145867 | desktop | 1
1460317 | desktop | 1
146686 | desktop | 1
1467544 | desktop | 1
146918 | desktop | 1
14708 | desktop | 1
14712 | desktop | 1
1472032 | desktop | 1
1472690 | mobile | 1
