id	categories	faces	native 0.5.0 after	native final after	verdict(native)	audit 0.5.0 flagged steps	audit final flagged steps	ASan final	WASM 0.5.0	WASM final
87520	multi	23060	wt/h0/c2/z1/v12518.8	wt/h0/c2/z0/v12518.8	better:degen-	0	0	completed	wt/h0/c2/z1	wt/h0/c2/z0
87718	degen,selfint	920	wt/h0/c1/z2/v3635.2	wt/h0/c1/z0/v3635.2	better:degen-	0	0	completed	wt/h0/c1/z2	wt/h0/c1/z0
88614	clean	3076	wt/h0/c1/z0/v62803.7	wt/h0/c1/z0/v62803.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
89474	selfint	102404	wt/h0/c1/z0/v76907	wt/h0/c1/z0/v76906.7	same	0	0	(>20MB, skipped)	wt/h0/c1/z0	wt/h0/c1/z0
89634	clean	6632	wt/h0/c1/z0/v99.3	wt/h0/c1/z0/v99.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
90275	clean	37016	wt/h0/c1/z4/v22492.3	wt/h0/c1/z0/v22492.4	better:degen-	0	0	completed	wt/h0/c1/z4	wt/h0/c1/z0
91113	nmV,multi,selfint	7318	open/h4/c67/z0/v129479.4	wt/h0/c67/z0/v155554.6	better:wt,holes-	0	0	completed	open/h4/c67/z0	wt/h0/c67/z0
92060	nmV,nmE,degen,dup,unoriented,selfint	5214	wt/h0/c2/z7/v20923	wt/h0/c1/z0/v20926	better:degen-,comps-	0	0	completed	wt/h0/c2/z7	wt/h0/c1/z0
92065	nmV,nmE,dup,unoriented,selfint	8007	open/h5/c2/z0/v16120.6	open/h3/c2/z0/v15683.3	better:holes-	0	0	completed	open/h5/c2/z0	open/h3/c2/z0
93882	multi,selfint	11756	wt/h0/c3/z0/v145011.4	wt/h0/c3/z0/v145011.4	same	0	0	completed	wt/h0/c3/z0	wt/h0/c3/z0
94215	multi	12096	wt/h0/c72/z0/v1051	wt/h0/c72/z0/v1051	same	0	0	completed	wt/h0/c72/z0	wt/h0/c72/z0
94677	clean	4018	wt/h0/c1/z0/v19193.5	wt/h0/c1/z0/v19193.6	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
95428	selfint	894	wt/h0/c1/z4/v102645.5	wt/h0/c1/z0/v102645.5	better:degen-	0	0	completed	wt/h0/c1/z4	wt/h0/c1/z0
95431	clean	838	wt/h0/c1/z0/v104437.4	wt/h0/c1/z0/v104437.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
96160	multi	3168	wt/h0/c8/z0/v28279.2	wt/h0/c8/z0/v28279.2	same	0	0	completed	wt/h0/c8/z0	wt/h0/c8/z0
96473	nmV,nmE,degen,dup,multi,selfint	8668	wt/h0/c5/z5/v15350	wt/h0/c5/z0/v15350	better:degen-	0	0	completed	wt/h0/c5/z5	wt/h0/c5/z0
96544	nmV,selfint	2422	wt/h0/c1/z0/v2430805.2	wt/h0/c1/z0/v2430821	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
96771	replacement	672	wt/h0/c1/z0/v2142.7	wt/h0/c1/z0/v2142.7	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
96777	clean	20182	wt/h0/c1/z0/v7582.2	wt/h0/c1/z0/v7582.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
97162	open	550	wt/h0/c1/z0/v1018.1	wt/h0/c1/z0/v1018.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
97488	multi	1736	wt/h0/c3/z0/v20559.4	wt/h0/c3/z0/v20559.4	same	0	0	completed	wt/h0/c3/z0	wt/h0/c3/z0
97594	selfint	1116	wt/h0/c1/z0/v6919.8	wt/h0/c1/z0/v6919.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
97597	degen,selfint	580	wt/h0/c1/z7/v424.8	wt/h0/c1/z0/v424.8	better:degen-	0	0	completed	wt/h0/c1/z7	wt/h0/c1/z0
97661	clean	2076	wt/h0/c1/z9/v74014.8	wt/h0/c1/z0/v74015	better:degen-	0	0	completed	wt/h0/c1/z9	wt/h0/c1/z0
97941	clean	278	wt/h0/c1/z0/v524.4	wt/h0/c1/z0/v524.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
98478	clean	63396	wt/h0/c1/z0/v8545.8	wt/h0/c1/z0/v8545.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
98655	open,selfint	1786	wt/h0/c1/z0/v6151.8	wt/h0/c1/z0/v6151.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
100282	nmV,multi,selfint	102936	open/h1/c2/z0/v19026.2	wt/h0/c2/z0/v19025.8	better:wt,holes-	0	0	completed	open/h1/c2/z0	wt/h0/c2/z0
100322	multi	772	wt/h0/c2/z0/v27663.4	wt/h0/c2/z0/v27663.4	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
100827	nmV,open,unoriented,selfint	71	open/h6/c12/z6/v118.2	wt/h0/c8/z0/v301.7	better:wt,holes-,degen-,comps-	0	0	completed	open/h6/c12/z6	wt/h0/c8/z0
101647	selfint	7916	wt/h0/c1/z0/v9408.8	wt/h0/c1/z0/v9408.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
101881	nmV,nmE	56946	wt/h0/c1/z33/v774408.6	wt/h0/c1/z0/v774327.9	better:degen-	0	0	completed	wt/h0/c1/z33	wt/h0/c1/z0
105171	clean	2456	wt/h0/c1/z0/v45762.6	wt/h0/c1/z0/v45762.6	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
105326	nmV,nmE,degen,dup,multi,unoriented,selfint	9654	wt/h0/c2/z18/v4199.7	wt/h0/c2/z0/v4197.3	better:degen-	0	0	completed	wt/h0/c2/z18	wt/h0/c2/z0
105804	nmV,nmE,open,degen,selfint	1330	wt/h0/c1/z2/v3058.1	wt/h0/c1/z0/v3058.1	better:degen-	0	0	completed	wt/h0/c1/z2	wt/h0/c1/z0
106039	clean	388	wt/h0/c1/z0/v18209.1	wt/h0/c1/z0/v18209.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
106683	clean	1096	wt/h0/c1/z0/v16867.1	wt/h0/c1/z0/v16867.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
107008	nmV,open,selfint	3394	open/h2/c2/z2/v11739.6	wt/h0/c1/z0/v11739.6	better:wt,holes-,degen-,comps-	0	0	completed	open/h2/c2/z2	wt/h0/c1/z0
108313	nmV	460	wt/h0/c1/z0/v4508.3	wt/h0/c1/z0/v4508.3	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
